FromWeight;Temp;Factor;category;AvWeight
0.5;1;0;0.50--1;0.75
0.5;2;0;0.50--1;0.75
0.5;3;0;0.50--1;0.75
0.5;4;0;0.50--1;0.75
0.5;5;0;0.50--1;0.75
0.5;6;0;0.50--1;0.75
0.5;7;0;0.50--1;0.75
0.5;8;0;0.50--1;0.75
0.5;9;0;0.50--1;0.75
0.5;10;1.067;0.50--1;0.75
0.5;11;1.067;0.50--1;0.75
0.5;12;1.067;0.50--1;0.75
0.5;13;0.97;0.50--1;0.75
0.5;14;0.97;0.50--1;0.75
0.5;15;0.97;0.50--1;0.75
0.5;16;0.97;0.50--1;0.75
0.5;17;0.97;0.50--1;0.75
0.5;18;0.97;0.50--1;0.75
0.5;19;0.97;0.50--1;0.75
0.5;20;0.97;0.50--1;0.75
0.5;21;0.97;0.50--1;0.75
0.5;22;0.97;0.50--1;0.75
0.5;23;0.97;0.50--1;0.75
0.5;24;0.97;0.50--1;0.75
0.5;25;0.97;0.50--1;0.75
0.5;26;0.97;0.50--1;0.75
0.5;27;1.15;0.50--1;0.75
0.5;28;1.15;0.50--1;0.75
0.5;29;1.15;0.50--1;0.75
0.5;30;1.15;0.50--1;0.75
0.5;31;1.15;0.50--1;0.75
0.5;32;1.15;0.50--1;0.75
0.5;33;0;0.50--1;0.75
0.5;34;0;0.50--1;0.75
0.5;35;0;0.50--1;0.75
1;1;0;1--4;2.5
1;2;0;1--4;2.5
1;3;0;1--4;2.5
1;4;0;1--4;2.5
1;5;0;1--4;2.5
1;6;0;1--4;2.5
1;7;0;1--4;2.5
1;8;0;1--4;2.5
1;9;0;1--4;2.5
1;10;1.067;1--4;2.5
1;11;1.509;1--4;2.5
1;12;1.416;1--4;2.5
1;13;1.323;1--4;2.5
1;14;1.229;1--4;2.5
1;15;1.183;1--4;2.5
1;16;1.183;1--4;2.5
1;17;1.183;1--4;2.5
1;18;1.102;1--4;2.5
1;19;1.075;1--4;2.5
1;20;1.055;1--4;2.5
1;21;1.055;1--4;2.5
1;22;1.023;1--4;2.5
1;23;1.034;1--4;2.5
1;24;1.055;1--4;2.5
1;25;1.076;1--4;2.5
1;26;1.098;1--4;2.5
1;27;1.221;1--4;2.5
1;28;1.22;1--4;2.5
1;29;1.22;1--4;2.5
1;30;1.22;1--4;2.5
1;31;1.22;1--4;2.5
1;32;1.22;1--4;2.5
1;33;0;1--4;2.5
1;34;0;1--4;2.5
1;35;0;1--4;2.5
4;1;0;4--8;6
4;2;0;4--8;6
4;3;0;4--8;6
4;4;0;4--8;6
4;5;0;4--8;6
4;6;0;4--8;6
4;7;0;4--8;6
4;8;0;4--8;6
4;9;0;4--8;6
4;10;1.067;4--8;6
4;11;1.552;4--8;6
4;12;1.468;4--8;6
4;13;1.44;4--8;6
4;14;1.412;4--8;6
4;15;1.242;4--8;6
4;16;1.242;4--8;6
4;17;1.183;4--8;6
4;18;1.135;4--8;6
4;19;1.108;4--8;6
4;20;1.098;4--8;6
4;21;1.076;4--8;6
4;22;1.076;4--8;6
4;23;1.076;4--8;6
4;24;1.076;4--8;6
4;25;1.076;4--8;6
4;26;1.087;4--8;6
4;27;1.245;4--8;6
4;28;1.25;4--8;6
4;29;1.25;4--8;6
4;30;1.25;4--8;6
4;31;1.25;4--8;6
4;32;1.25;4--8;6
4;33;0;4--8;6
4;34;0;4--8;6
4;35;0;4--8;6
8;1;0;8--14;11
8;2;0;8--14;11
8;3;0;8--14;11
8;4;0;8--14;11
8;5;0;8--14;11
8;6;0;8--14;11
8;7;0;8--14;11
8;8;0;8--14;11
8;9;0;8--14;11
8;10;0.999;8--14;11
8;11;1.715;8--14;11
8;12;1.531;8--14;11
8;13;1.493;8--14;11
8;14;1.455;8--14;11
8;15;1.322;8--14;11
8;16;1.277;8--14;11
8;17;1.271;8--14;11
8;18;1.23;8--14;11
8;19;1.183;8--14;11
8;20;1.14;8--14;11
8;21;1.129;8--14;11
8;22;1.108;8--14;11
8;23;1.098;8--14;11
8;24;1.089;8--14;11
8;25;1.089;8--14;11
8;26;1.098;8--14;11
8;27;1.36;8--14;11
8;28;1.36;8--14;11
8;29;1.36;8--14;11
8;30;1.36;8--14;11
8;31;1.36;8--14;11
8;32;1.36;8--14;11
8;33;0;8--14;11
8;34;0;8--14;11
8;35;0;8--14;11
14;1;0;14--18;16
14;2;0;14--18;16
14;3;0;14--18;16
14;4;0;14--18;16
14;5;0;14--18;16
14;6;0;14--18;16
14;7;0;14--18;16
14;8;0;14--18;16
14;9;0;14--18;16
14;10;0.999;14--18;16
14;11;1.792;14--18;16
14;12;1.512;14--18;16
14;13;1.517;14--18;16
14;14;1.508;14--18;16
14;15;1.408;14--18;16
14;16;1.374;14--18;16
14;17;1.316;14--18;16
14;18;1.287;14--18;16
14;19;1.22;14--18;16
14;20;1.183;14--18;16
14;21;1.16;14--18;16
14;22;1.148;14--18;16
14;23;1.129;14--18;16
14;24;1.103;14--18;16
14;25;1.125;14--18;16
14;26;1.16;14--18;16
14;27;1.267;14--18;16
14;28;1.41;14--18;16
14;29;1.41;14--18;16
14;30;1.41;14--18;16
14;31;1.41;14--18;16
14;32;1.41;14--18;16
14;33;0;14--18;16
14;34;0;14--18;16
14;35;0;14--18;16
18;1;0;18--35;26.5
18;2;0;18--35;26.5
18;3;0;18--35;26.5
18;4;0;18--35;26.5
18;5;0;18--35;26.5
18;6;0;18--35;26.5
18;7;0;18--35;26.5
18;8;0;18--35;26.5
18;9;0;18--35;26.5
18;10;0.999;18--35;26.5
18;11;1.858;18--35;26.5
18;12;1.661;18--35;26.5
18;13;1.573;18--35;26.5
18;14;1.564;18--35;26.5
18;15;1.436;18--35;26.5
18;16;1.362;18--35;26.5
18;17;1.331;18--35;26.5
18;18;1.311;18--35;26.5
18;19;1.232;18--35;26.5
18;20;1.2;18--35;26.5
18;21;1.181;18--35;26.5
18;22;1.17;18--35;26.5
18;23;1.153;18--35;26.5
18;24;1.146;18--35;26.5
18;25;1.175;18--35;26.5
18;26;1.188;18--35;26.5
18;27;1.32;18--35;26.5
18;28;1.47;18--35;26.5
18;29;1.47;18--35;26.5
18;30;1.47;18--35;26.5
18;31;1.47;18--35;26.5
18;32;1.47;18--35;26.5
18;33;0;18--35;26.5
18;34;0;18--35;26.5
18;35;0;18--35;26.5
35;1;0;35--60;47.5
35;2;0;35--60;47.5
35;3;0;35--60;47.5
35;4;0;35--60;47.5
35;5;0;35--60;47.5
35;6;0;35--60;47.5
35;7;0;35--60;47.5
35;8;0;35--60;47.5
35;9;0;35--60;47.5
35;10;0.999;35--60;47.5
35;11;1.947;35--60;47.5
35;12;1.697;35--60;47.5
35;13;1.634;35--60;47.5
35;14;1.603;35--60;47.5
35;15;1.504;35--60;47.5
35;16;1.421;35--60;47.5
35;17;1.377;35--60;47.5
35;18;1.347;35--60;47.5
35;19;1.288;35--60;47.5
35;20;1.258;35--60;47.5
35;21;1.248;35--60;47.5
35;22;1.23;35--60;47.5
35;23;1.22;35--60;47.5
35;24;1.212;35--60;47.5
35;25;1.196;35--60;47.5
35;26;1.235;35--60;47.5
35;27;1.358;35--60;47.5
35;28;1.51;35--60;47.5
35;29;1.51;35--60;47.5
35;30;1.51;35--60;47.5
35;31;1.51;35--60;47.5
35;32;1.51;35--60;47.5
35;33;0;35--60;47.5
35;34;0;35--60;47.5
35;35;0;35--60;47.5
60;1;0;60--80;70
60;2;0;60--80;70
60;3;0;60--80;70
60;4;0;60--80;70
60;5;0;60--80;70
60;6;0;60--80;70
60;7;0;60--80;70
60;8;0;60--80;70
60;9;0;60--80;70
60;10;0.999;60--80;70
60;11;1.999;60--80;70
60;12;1.87;60--80;70
60;13;1.685;60--80;70
60;14;1.634;60--80;70
60;15;1.543;60--80;70
60;16;1.483;60--80;70
60;17;1.439;60--80;70
60;18;1.392;60--80;70
60;19;1.316;60--80;70
60;20;1.295;60--80;70
60;21;1.26;60--80;70
60;22;1.252;60--80;70
60;23;1.233;60--80;70
60;24;1.225;60--80;70
60;25;1.205;60--80;70
60;26;1.216;60--80;70
60;27;1.48;60--80;70
60;28;1.64;60--80;70
60;29;1.64;60--80;70
60;30;1.64;60--80;70
60;31;1.64;60--80;70
60;32;1.64;60--80;70
60;33;0;60--80;70
60;34;0;60--80;70
60;35;0;60--80;70
80;1;0;80--100;90
80;2;0;80--100;90
80;3;0;80--100;90
80;4;0;80--100;90
80;5;0;80--100;90
80;6;0;80--100;90
80;7;0;80--100;90
80;8;0;80--100;90
80;9;0;80--100;90
80;10;0.999;80--100;90
80;11;2.006;80--100;90
80;12;1.913;80--100;90
80;13;1.711;80--100;90
80;14;1.677;80--100;90
80;15;1.622;80--100;90
80;16;1.579;80--100;90
80;17;1.501;80--100;90
80;18;1.443;80--100;90
80;19;1.417;80--100;90
80;20;1.364;80--100;90
80;21;1.332;80--100;90
80;22;1.308;80--100;90
80;23;1.27;80--100;90
80;24;1.26;80--100;90
80;25;1.245;80--100;90
80;26;1.267;80--100;90
80;27;1.511;80--100;90
80;28;1.68;80--100;90
80;29;1.68;80--100;90
80;30;1.68;80--100;90
80;31;1.68;80--100;90
80;32;1.68;80--100;90
80;33;0;80--100;90
80;34;0;80--100;90
80;35;0;80--100;90
100;1;0;100--150;125
100;2;0;100--150;125
100;3;0;100--150;125
100;4;0;100--150;125
100;5;0;100--150;125
100;6;0;100--150;125
100;7;0;100--150;125
100;8;0;100--150;125
100;9;0;100--150;125
100;10;0.999;100--150;125
100;11;2.045;100--150;125
100;12;1.966;100--150;125
100;13;1.883;100--150;125
100;14;1.779;100--150;125
100;15;1.732;100--150;125
100;16;1.621;100--150;125
100;17;1.561;100--150;125
100;18;1.537;100--150;125
100;19;1.513;100--150;125
100;20;1.475;100--150;125
100;21;1.431;100--150;125
100;22;1.421;100--150;125
100;23;1.394;100--150;125
100;24;1.328;100--150;125
100;25;1.321;100--150;125
100;26;1.347;100--150;125
100;27;1.532;100--150;125
100;28;1.7;100--150;125
100;29;1.7;100--150;125
100;30;1.7;100--150;125
100;31;1.7;100--150;125
100;32;1.7;100--150;125
100;33;0;100--150;125
100;34;0;100--150;125
100;35;0;100--150;125
150;1;0;150--200;175
150;2;0;150--200;175
150;3;0;150--200;175
150;4;0;150--200;175
150;5;0;150--200;175
150;6;0;150--200;175
150;7;0;150--200;175
150;8;0;150--200;175
150;9;0;150--200;175
150;10;1.009;150--200;175
150;11;2.144;150--200;175
150;12;2.044;150--200;175
150;13;1.978;150--200;175
150;14;1.95;150--200;175
150;15;1.829;150--200;175
150;16;1.695;150--200;175
150;17;1.638;150--200;175
150;18;1.59;150--200;175
150;19;1.538;150--200;175
150;20;1.505;150--200;175
150;21;1.481;150--200;175
150;22;1.467;150--200;175
150;23;1.44;150--200;175
150;24;1.401;150--200;175
150;25;1.388;150--200;175
150;26;1.479;150--200;175
150;27;1.684;150--200;175
150;28;1.87;150--200;175
150;29;1.87;150--200;175
150;30;1.87;150--200;175
150;31;1.87;150--200;175
150;32;1.87;150--200;175
150;33;0;150--200;175
150;34;0;150--200;175
150;35;0;150--200;175
200;1;0;200--250;225
200;2;0;200--250;225
200;3;0;200--250;225
200;4;0;200--250;225
200;5;0;200--250;225
200;6;0;200--250;225
200;7;0;200--250;225
200;8;0;200--250;225
200;9;0;200--250;225
200;10;1.009;200--250;225
200;11;2.476;200--250;225
200;12;2.192;200--250;225
200;13;2.159;200--250;225
200;14;2.124;200--250;225
200;15;1.96;200--250;225
200;16;1.81;200--250;225
200;17;1.742;200--250;225
200;18;1.701;200--250;225
200;19;1.628;200--250;225
200;20;1.609;200--250;225
200;21;1.591;200--250;225
200;22;1.566;200--250;225
200;23;1.557;200--250;225
200;24;1.542;200--250;225
200;25;1.5;200--250;225
200;26;1.571;200--250;225
200;27;1.745;200--250;225
200;28;1.94;200--250;225
200;29;1.94;200--250;225
200;30;1.94;200--250;225
200;31;1.94;200--250;225
200;32;1.94;200--250;225
200;33;0;200--250;225
200;34;0;200--250;225
200;35;0;200--250;225
250;1;0;250--300;275
250;2;0;250--300;275
250;3;0;250--300;275
250;4;0;250--300;275
250;5;0;250--300;275
250;6;0;250--300;275
250;7;0;250--300;275
250;8;0;250--300;275
250;9;0;250--300;275
250;10;1.009;250--300;275
250;11;2.741;250--300;275
250;12;2.351;250--300;275
250;13;2.269;250--300;275
250;14;2.187;250--300;275
250;15;2.016;250--300;275
250;16;1.969;250--300;275
250;17;1.898;250--300;275
250;18;1.846;250--300;275
250;19;1.784;250--300;275
250;20;1.75;250--300;275
250;21;1.714;250--300;275
250;22;1.66;250--300;275
250;23;1.642;250--300;275
250;24;1.617;250--300;275
250;25;1.594;250--300;275
250;26;1.702;250--300;275
250;27;2.069;250--300;275
250;28;2.3;250--300;275
250;29;2.3;250--300;275
250;30;2.3;250--300;275
250;31;2.3;250--300;275
250;32;2.3;250--300;275
250;33;0;250--300;275
250;34;0;250--300;275
250;35;0;250--300;275
300;1;0;300--350;325
300;2;0;300--350;325
300;3;0;300--350;325
300;4;0;300--350;325
300;5;0;300--350;325
300;6;0;300--350;325
300;7;0;300--350;325
300;8;0;300--350;325
300;9;0;300--350;325
300;10;1.009;300--350;325
300;11;3.384;300--350;325
300;12;3.599;300--350;325
300;13;3.326;300--350;325
300;14;2.534;300--350;325
300;15;2.172;300--350;325
300;16;2.07;300--350;325
300;17;2.035;300--350;325
300;18;1.997;300--350;325
300;19;1.941;300--350;325
300;20;1.832;300--350;325
300;21;1.804;300--350;325
300;22;1.776;300--350;325
300;23;1.767;300--350;325
300;24;1.741;300--350;325
300;25;1.714;300--350;325
300;26;1.833;300--350;325
300;27;2.231;300--350;325
300;28;2.48;300--350;325
300;29;2.48;300--350;325
300;30;2.48;300--350;325
300;31;2.48;300--350;325
300;32;2.48;300--350;325
300;33;0;300--350;325
300;34;0;300--350;325
300;35;0;300--350;325
350;1;0;350--400;375
350;2;0;350--400;375
350;3;0;350--400;375
350;4;0;350--400;375
350;5;0;350--400;375
350;6;0;350--400;375
350;7;0;350--400;375
350;8;0;350--400;375
350;9;0;350--400;375
350;10;1.009;350--400;375
350;11;4.195;350--400;375
350;12;3.971;350--400;375
350;13;3.554;350--400;375
350;14;2.935;350--400;375
350;15;2.461;350--400;375
350;16;2.301;350--400;375
350;17;2.187;350--400;375
350;18;2.051;350--400;375
350;19;1.959;350--400;375
350;20;1.932;350--400;375
350;21;1.922;350--400;375
350;22;1.9;350--400;375
350;23;1.873;350--400;375
350;24;1.838;350--400;375
350;25;1.792;350--400;375
350;26;1.895;350--400;375
350;27;2.282;350--400;375
350;28;2.54;350--400;375
350;29;2.54;350--400;375
350;30;2.54;350--400;375
350;31;2.54;350--400;375
350;32;2.54;350--400;375
350;33;0;350--400;375
350;34;0;350--400;375
350;35;0;350--400;375
400;1;0;400--450;425
400;2;0;400--450;425
400;3;0;400--450;425
400;4;0;400--450;425
400;5;0;400--450;425
400;6;0;400--450;425
400;7;0;400--450;425
400;8;0;400--450;425
400;9;0;400--450;425
400;10;1.009;400--450;425
400;11;4.332;400--450;425
400;12;4.044;400--450;425
400;13;3.548;400--450;425
400;14;3.053;400--450;425
400;15;2.617;400--450;425
400;16;2.566;400--450;425
400;17;2.513;400--450;425
400;18;2.46;400--450;425
400;19;2.288;400--450;425
400;20;2.239;400--450;425
400;21;2.212;400--450;425
400;22;2.15;400--450;425
400;23;2.124;400--450;425
400;24;2.085;400--450;425
400;25;2.073;400--450;425
400;26;2.296;400--450;425
400;27;2.678;400--450;425
400;28;2.98;400--450;425
400;29;2.98;400--450;425
400;30;2.98;400--450;425
400;31;2.98;400--450;425
400;32;2.98;400--450;425
400;33;0;400--450;425
400;34;0;400--450;425
400;35;0;400--450;425
450;1;0;450--600;525
450;2;0;450--600;525
450;3;0;450--600;525
450;4;0;450--600;525
450;5;0;450--600;525
450;6;0;450--600;525
450;7;0;450--600;525
450;8;0;450--600;525
450;9;0;450--600;525
450;10;1.009;450--600;525
450;11;4.551;450--600;525
450;12;4.114;450--600;525
450;13;3.805;450--600;525
450;14;3.421;450--600;525
450;15;3.118;450--600;525
450;16;3.108;450--600;525
450;17;3.081;450--600;525
450;18;3.018;450--600;525
450;19;2.991;450--600;525
450;20;2.853;450--600;525
450;21;2.669;450--600;525
450;22;2.55;450--600;525
450;23;2.459;450--600;525
450;24;2.411;450--600;525
450;25;2.364;450--600;525
450;26;2.581;450--600;525
450;27;2.992;450--600;525
450;28;3.32;450--600;525
450;29;3.32;450--600;525
450;30;3.32;450--600;525
450;31;3.32;450--600;525
450;32;3.32;450--600;525
450;33;0;450--600;525
450;34;0;450--600;525
450;35;0;450--600;525
600;1;0;600--3000;1800
600;2;0;600--3000;1800
600;3;0;600--3000;1800
600;4;0;600--3000;1800
600;5;0;600--3000;1800
600;6;0;600--3000;1800
600;7;0;600--3000;1800
600;8;0;600--3000;1800
600;9;0;600--3000;1800
600;10;1.009;600--3000;1800
600;11;4.807;600--3000;1800
600;12;4.286;600--3000;1800
600;13;4.175;600--3000;1800
600;14;4.065;600--3000;1800
600;15;3.917;600--3000;1800
600;16;3.371;600--3000;1800
600;17;3.3;600--3000;1800
600;18;3.179;600--3000;1800
600;19;3.113;600--3000;1800
600;20;3.03;600--3000;1800
600;21;2.985;600--3000;1800
600;22;2.968;600--3000;1800
600;23;2.937;600--3000;1800
600;24;2.874;600--3000;1800
600;25;2.828;600--3000;1800
600;26;2.958;600--3000;1800
600;27;3.656;600--3000;1800
600;28;4.06;600--3000;1800
600;29;4.06;600--3000;1800
600;30;4.06;600--3000;1800
600;31;4.06;600--3000;1800
600;32;4.06;600--3000;1800
600;33;0;600--3000;1800
600;34;0;600--3000;1800
600;35;0;600--3000;1800
